2026-02-23	2	5	Add proper pixel art textures and fix thermal heater light level
2026-02-23	22	0	Add wind chill exhaustion in phase 5
2026-02-23	39	34	Optimize TemperatureManager heat source scanning
2026-02-23	79	0	Add sound muffling below -15C
2026-02-23	94	31	Fix snow accumulation, add underground protection, phase 5 permanent night
2026-02-23	95	0	Add README with installation, features, and configuration docs
2026-02-23	98	20	Improve tree decay: gradual leaf death, phase 5 tree snapping, faster volume checks
2026-02-23	133	10	Add cold effects: breath particles, shivering, temp-based frost overlay, crop freeze
2026-02-23	599	80	Add weather effects, temperature HUD, wind ambience, and environmental enhancements
2026-02-23	1026	54	Add 6 features: config presets, player agency, endgame loop, atmosphere, ORSA narrative, docs
2026-02-23	2762	0	Initial commit: Frozen Dawn mod (NeoForge 1.21.1)
2026-02-24	18	3	Update README with armor system, nether severance, guide book, and corrected counts
2026-02-24	19	0	Reset client-side state on logout so new worlds start clean
2026-02-24	27	6	Add phase 6 late surface sublimation: ice, snow, and water evaporate in vacuum
2026-02-24	31	17	Add Phase 0 (normal Minecraft), visual sun scaling via mixin
2026-02-24	61	13	Add phase-based fuel scaling and shelter-gated heater radius
2026-02-24	69	19	Fix suffocation: sky-based detection, no knockback, escalating symptoms
2026-02-24	97	47	Redesign temperature HUD and add hypothermia guide to Patchouli book
2026-02-24	461	18	Add Patchouli guide, nether severance, world time sync, and code review fixes
2026-02-24	488	36	Add 3-tier armor system, fix textures, armor-based freeze suppression, and nether portal advancement
2026-02-24	638	92	Add Phase 6: Atmospheric Collapse — stars, suffocation, geothermal ambience, vacuum silence
2026-02-24	698	153	Add ORSA Document item, 5-book lore system, armor heat trapping, and phase 0 temp HUD
2026-02-24	813	2	Add food spoilage system, thermal container, and frost visuals
2026-02-24	1100	41	Add tiered heaters, geothermal core upgrades, heat stacking, and hyperthermia system
2026-02-25	2	0	Add mod logo and author metadata
2026-02-25	3	3	Bump version to 0.9.1
2026-02-25	7	31	Low-priority polish: consolidate shelter check, clean up dead code
2026-02-25	39	199	Remove Tough As Nails integration
2026-02-25	59	10	Cache heater shelter status, drop unmodifiable wrappers, deduplicate armor tier
